time,load_user1_adj,max_supply_user1,max_withdrawal_user1,min_energy_user1,max_energy_user1
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,10,0,22,5.3,53
35,0,0,22,5.3,53
36,0,0,22,5.3,53
37,0,0,22,5.3,53
38,0,0,22,5.3,53
39,0,0,22,5.3,53
40,0,0,22,5.3,53
41,0,0,22,5.3,53
42,0,0,22,5.3,53
43,0,0,22,5.3,53
44,0,0,22,5.3,53
45,0,0,22,5.3,53
46,0,0,22,5.3,53
47,0,0,22,5.3,53
48,0,0,22,5.3,53
49,0,0,22,5.3,53
50,0,0,22,5.3,53
51,0,0,22,5.3,53
52,0,0,22,5.3,53
53,0,0,22,5.3,53
54,0,0,22,5.3,53
55,0,0,22,5.3,53
56,0,0,22,5.3,53
57,0,0,22,5.3,53
58,0,0,22,5.3,53
59,0,0,22,5.3,53
60,0,0,22,5.3,53
61,0,0,22,5.3,53
62,0,0,22,5.3,53
63,0,0,22,5.3,53
64,0,0,22,5.3,53
65,0,0,22,5.3,53
66,0,0,22,5.3,53
67,0,0,22,5.3,53
68,0,0,22,5.3,53
69,0,0,22,5.3,53
70,0,0,22,5.3,53
71,0,0,22,5.3,53
72,0,0,22,5.3,53
73,0,0,22,5.3,53
74,0,0,22,5.3,53
75,0,0,22,5.3,53
76,0,0,22,5.3,53
77,0,0,22,5.3,53
78,0,0,22,5.3,53
79,0,0,22,5.3,53
80,0,0,22,5.3,53
81,0,0,22,5.3,53
82,-53,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,0,0,0
132,10,0,22,5.3,53
133,0,0,22,5.3,53
134,0,0,22,5.3,53
135,0,0,22,5.3,53
136,0,0,22,5.3,53
137,0,0,22,5.3,53
138,0,0,22,5.3,53
139,0,0,22,5.3,53
140,0,0,22,5.3,53
141,0,0,22,5.3,53
142,0,0,22,5.3,53
143,0,0,22,5.3,53
144,0,0,22,5.3,53
145,0,0,22,5.3,53
146,0,0,22,5.3,53
147,0,0,22,5.3,53
148,0,0,22,5.3,53
149,0,0,22,5.3,53
150,0,0,22,5.3,53
151,0,0,22,5.3,53
152,0,0,22,5.3,53
153,0,0,22,5.3,53
154,0,0,22,5.3,53
155,0,0,22,5.3,53
156,0,0,22,5.3,53
157,0,0,22,5.3,53
158,0,0,22,5.3,53
159,0,0,22,5.3,53
160,0,0,22,5.3,53
161,0,0,22,5.3,53
162,0,0,22,5.3,53
163,0,0,22,5.3,53
164,0,0,22,5.3,53
165,0,0,22,5.3,53
166,0,0,22,5.3,53
167,0,0,22,5.3,53
168,0,0,22,5.3,53
169,0,0,22,5.3,53
170,0,0,22,5.3,53
171,0,0,22,5.3,53
172,0,0,22,5.3,53
173,0,0,22,5.3,53
174,0,0,22,5.3,53
175,0,0,22,5.3,53
176,0,0,22,5.3,53
177,0,0,22,5.3,53
178,0,0,22,5.3,53
179,-53,0,0,0,0
180,0,0,0,0,0
181,0,0,0,0,0
182,0,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,0,0,0,0,0
200,0,0,0,0,0
201,0,0,0,0,0
202,0,0,0,0,0
203,0,0,0,0,0
204,0,0,0,0,0
205,0,0,0,0,0
206,0,0,0,0,0
207,0,0,0,0,0
208,0,0,0,0,0
209,0,0,0,0,0
210,0,0,0,0,0
211,0,0,0,0,0
212,0,0,0,0,0
213,0,0,0,0,0
214,0,0,0,0,0
215,0,0,0,0,0
216,0,0,0,0,0
217,0,0,0,0,0
218,0,0,0,0,0
219,0,0,0,0,0
220,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,10,0,22,5.3,53
224,0,0,22,5.3,53
225,0,0,22,5.3,53
226,0,0,22,5.3,53
227,0,0,22,5.3,53
228,0,0,22,5.3,53
229,0,0,22,5.3,53
230,0,0,22,5.3,53
231,0,0,22,5.3,53
232,0,0,22,5.3,53
233,0,0,22,5.3,53
234,0,0,22,5.3,53
235,0,0,22,5.3,53
236,0,0,22,5.3,53
237,0,0,22,5.3,53
238,0,0,22,5.3,53
239,0,0,22,5.3,53
240,0,0,22,5.3,53
241,0,0,22,5.3,53
242,0,0,22,5.3,53
243,0,0,22,5.3,53
244,0,0,22,5.3,53
245,0,0,22,5.3,53
246,0,0,22,5.3,53
247,0,0,22,5.3,53
248,0,0,22,5.3,53
249,0,0,22,5.3,53
250,0,0,22,5.3,53
251,0,0,22,5.3,53
252,0,0,22,5.3,53
253,0,0,22,5.3,53
254,0,0,22,5.3,53
255,0,0,22,5.3,53
256,0,0,22,5.3,53
257,0,0,22,5.3,53
258,0,0,22,5.3,53
259,0,0,22,5.3,53
260,0,0,22,5.3,53
261,0,0,22,5.3,53
262,0,0,22,5.3,53
263,0,0,22,5.3,53
264,-53,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,0
267,0,0,0,0,0
268,0,0,0,0,0
269,0,0,0,0,0
270,0,0,0,0,0
271,0,0,0,0,0
272,0,0,0,0,0
273,0,0,0,0,0
274,0,0,0,0,0
275,0,0,0,0,0
276,0,0,0,0,0
277,0,0,0,0,0
278,0,0,0,0,0
279,0,0,0,0,0
280,0,0,0,0,0
281,0,0,0,0,0
282,0,0,0,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,0,0,0,0,0
290,0,0,0,0,0
291,0,0,0,0,0
292,0,0,0,0,0
293,0,0,0,0,0
294,0,0,0,0,0
295,0,0,0,0,0
296,0,0,0,0,0
297,0,0,0,0,0
298,0,0,0,0,0
299,0,0,0,0,0
300,0,0,0,0,0
301,0,0,0,0,0
302,0,0,0,0,0
303,0,0,0,0,0
304,0,0,0,0,0
305,0,0,0,0,0
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,0,0,0,0,0
315,0,0,0,0,0
316,0,0,0,0,0
317,10,0,22,5.3,53
318,0,0,22,5.3,53
319,0,0,22,5.3,53
320,0,0,22,5.3,53
321,0,0,22,5.3,53
322,0,0,22,5.3,53
323,0,0,22,5.3,53
324,0,0,22,5.3,53
325,0,0,22,5.3,53
326,0,0,22,5.3,53
327,0,0,22,5.3,53
328,0,0,22,5.3,53
329,0,0,22,5.3,53
330,0,0,22,5.3,53
331,-53,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,0,0,0,0,0
338,0,0,0,0,0
339,0,0,0,0,0
340,0,0,0,0,0
341,10,0,22,5.3,53
342,0,0,22,5.3,53
343,0,0,22,5.3,53
344,0,0,22,5.3,53
345,0,0,22,5.3,53
346,0,0,22,5.3,53
347,0,0,22,5.3,53
348,0,0,22,5.3,53
349,0,0,22,5.3,53
350,0,0,22,5.3,53
351,0,0,22,5.3,53
352,0,0,22,5.3,53
353,0,0,22,5.3,53
354,0,0,22,5.3,53
355,0,0,22,5.3,53
356,0,0,22,5.3,53
357,0,0,22,5.3,53
358,0,0,22,5.3,53
359,0,0,22,5.3,53
360,0,0,22,5.3,53
361,0,0,22,5.3,53
362,0,0,22,5.3,53
363,0,0,22,5.3,53
364,0,0,22,5.3,53
365,0,0,22,5.3,53
366,0,0,22,5.3,53
367,0,0,22,5.3,53
368,0,0,22,5.3,53
369,0,0,22,5.3,53
370,0,0,22,5.3,53
371,0,0,22,5.3,53
372,0,0,22,5.3,53
373,-53,0,0,0,0
374,0,0,0,0,0
375,0,0,0,0,0
376,0,0,0,0,0
377,0,0,0,0,0
378,0,0,0,0,0
379,0,0,0,0,0
380,0,0,0,0,0
381,0,0,0,0,0
382,0,0,0,0,0
383,0,0,0,0,0
384,0,0,0,0,0
385,0,0,0,0,0
386,0,0,0,0,0
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,0
391,0,0,0,0,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,0,0,0,0,0
396,0,0,0,0,0
397,0,0,0,0,0
398,0,0,0,0,0
399,0,0,0,0,0
400,0,0,0,0,0
401,0,0,0,0,0
402,0,0,0,0,0
403,0,0,0,0,0
404,0,0,0,0,0
405,0,0,0,0,0
406,0,0,0,0,0
407,0,0,0,0,0
408,0,0,0,0,0
409,0,0,0,0,0
410,0,0,0,0,0
411,0,0,0,0,0
412,0,0,0,0,0
413,0,0,0,0,0
414,10,0,22,5.3,53
415,0,0,22,5.3,53
416,0,0,22,5.3,53
417,0,0,22,5.3,53
418,0,0,22,5.3,53
419,0,0,22,5.3,53
420,0,0,22,5.3,53
421,0,0,22,5.3,53
422,0,0,22,5.3,53
423,0,0,22,5.3,53
424,0,0,22,5.3,53
425,0,0,22,5.3,53
426,0,0,22,5.3,53
427,0,0,22,5.3,53
428,0,0,22,5.3,53
429,0,0,22,5.3,53
430,0,0,22,5.3,53
431,0,0,22,5.3,53
432,0,0,22,5.3,53
433,0,0,22,5.3,53
434,0,0,22,5.3,53
435,0,0,22,5.3,53
436,0,0,22,5.3,53
437,0,0,22,5.3,53
438,0,0,22,5.3,53
439,0,0,22,5.3,53
440,0,0,22,5.3,53
441,0,0,22,5.3,53
442,0,0,22,5.3,53
443,0,0,22,5.3,53
444,0,0,22,5.3,53
445,0,0,22,5.3,53
446,0,0,22,5.3,53
447,0,0,22,5.3,53
448,0,0,22,5.3,53
449,0,0,22,5.3,53
450,0,0,22,5.3,53
451,0,0,22,5.3,53
452,0,0,22,5.3,53
453,0,0,22,5.3,53
454,0,0,22,5.3,53
455,0,0,22,5.3,53
456,0,0,22,5.3,53
457,0,0,22,5.3,53
458,0,0,22,5.3,53
459,-53,0,0,0,0
460,0,0,0,0,0
461,0,0,0,0,0
462,0,0,0,0,0
463,0,0,0,0,0
464,0,0,0,0,0
465,0,0,0,0,0
466,0,0,0,0,0
467,0,0,0,0,0
468,0,0,0,0,0
469,0,0,0,0,0
470,0,0,0,0,0
471,0,0,0,0,0
472,0,0,0,0,0
473,0,0,0,0,0
474,0,0,0,0,0
475,0,0,0,0,0
476,0,0,0,0,0
477,0,0,0,0,0
478,0,0,0,0,0
479,0,0,0,0,0
480,0,0,0,0,0
481,0,0,0,0,0
482,0,0,0,0,0
483,0,0,0,0,0
484,0,0,0,0,0
485,0,0,0,0,0
486,0,0,0,0,0
487,0,0,0,0,0
488,0,0,0,0,0
489,0,0,0,0,0
490,0,0,0,0,0
491,0,0,0,0,0
492,0,0,0,0,0
493,0,0,0,0,0
494,0,0,0,0,0
495,0,0,0,0,0
496,0,0,0,0,0
497,0,0,0,0,0
498,0,0,0,0,0
499,0,0,0,0,0
500,0,0,0,0,0
501,0,0,0,0,0
502,0,0,0,0,0
503,0,0,0,0,0
504,0,0,0,0,0
505,0,0,0,0,0
506,0,0,0,0,0
507,0,0,0,0,0
508,10,0,22,5.3,53
509,0,0,22,5.3,53
510,0,0,22,5.3,53
511,0,0,22,5.3,53
512,0,0,22,5.3,53
513,0,0,22,5.3,53
514,0,0,22,5.3,53
515,0,0,22,5.3,53
516,0,0,22,5.3,53
517,0,0,22,5.3,53
518,0,0,22,5.3,53
519,0,0,22,5.3,53
520,0,0,22,5.3,53
521,0,0,22,5.3,53
522,0,0,22,5.3,53
523,0,0,22,5.3,53
524,0,0,22,5.3,53
525,0,0,22,5.3,53
526,0,0,22,5.3,53
527,0,0,22,5.3,53
528,0,0,22,5.3,53
529,0,0,22,5.3,53
530,0,0,22,5.3,53
531,0,0,22,5.3,53
532,0,0,22,5.3,53
533,0,0,22,5.3,53
534,0,0,22,5.3,53
535,0,0,22,5.3,53
536,0,0,22,5.3,53
537,0,0,22,5.3,53
538,0,0,22,5.3,53
539,0,0,22,5.3,53
540,0,0,22,5.3,53
541,0,0,22,5.3,53
542,0,0,22,5.3,53
543,0,0,22,5.3,53
544,0,0,22,5.3,53
545,0,0,22,5.3,53
546,0,0,22,5.3,53
547,0,0,22,5.3,53
548,0,0,22,5.3,53
549,0,0,22,5.3,53
550,0,0,22,5.3,53
551,0,0,22,5.3,53
552,0,0,22,5.3,53
553,0,0,22,5.3,53
554,0,0,22,5.3,53
555,0,0,22,5.3,53
556,0,0,22,5.3,53
557,0,0,22,5.3,53
558,0,0,22,5.3,53
559,0,0,22,5.3,53
